,VOLUME,VWAP,IMS,TRADES,CONC,TAM_VOLUME,TAM_VWAP,TAM_IMS,TAM_TRADES,TAM_CONC,HFA_VOLUME,HFA_VWAP,HFA_IMS,HFA_TRADES,HFA_CONC,RTW_VOLUME,RTW_VWAP,RTW_IMS,RTW_TRADES,RTW_CONC,B,S,E,F
13710,206039,5.77,8,17,0.41,80089.0,5.8,4.0,4.0,0.61,125950.0,5.75,4.0,13.0,0.85,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13711,6082,67.48,18,21,0.34,2391.0,67.24,14.0,16.0,0.16,3691.0,67.63,4.0,5.0,0.84,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13712,15593,16.69,7,10,0.38,15593.0,16.69,7.0,10.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13713,8100000,87.34,3,3,0.89,8100000.0,87.34,3.0,3.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
13715,25413,19.48,10,18,0.32,16280.0,19.44,7.0,9.0,0.6,9133.0,19.55,3.0,9.0,0.53,0.0,0.0,0.0,0.0,0.0,0,1,1,0
13716,30893,197.16,19,29,0.32,27857.0,197.11,11.0,15.0,0.39,3036.0,197.66,8.0,14.0,0.29,0.0,0.0,0.0,0.0,0.0,0,1,1,0
13717,20409,114.11,11,12,0.23,20409.0,114.11,11.0,12.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
13720,2503,37.06,3,4,0.42,2503.0,37.06,3.0,4.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
13721,923000,253.82,15,24,0.37,894000.0,253.7,12.0,17.0,0.4,29000.0,257.45,3.0,7.0,0.34,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13724,451829,7.61,9,13,0.47,451829.0,7.61,9.0,13.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13725,242000,104.54,3,3,0.87,242000.0,104.54,3.0,3.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1
13728,4029000,96.21,5,5,0.46,4029000.0,96.21,5.0,5.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
13729,42601,88.07,24,43,0.47,37889.0,88.07,20.0,32.0,0.59,4712.0,88.03,4.0,11.0,0.88,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13730,4449503,1.66,4,4,0.39,4449503.0,1.66,4.0,4.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
13731,114176,30.48,10,12,0.4,114176.0,30.48,10.0,12.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13732,600000,104.02,3,3,0.5,600000.0,104.02,3.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1
13733,84440,44.61,22,34,0.14,70979.0,44.72,15.0,21.0,0.19,13461.0,44.05,7.0,13.0,0.26,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13734,9718677,2.9,50,82,0.12,9224112.0,2.9,41.0,70.0,0.13,460504.0,2.84,6.0,6.0,0.67,34061.0,2.91,3.0,6.0,0.57,1,0,1,0
13735,255275,18.48,11,12,0.52,255275.0,18.48,11.0,12.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
13736,1054079,0.77,3,5,0.39,1054079.0,0.77,3.0,5.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
13737,101328,34.41,17,28,0.26,53920.0,34.36,11.0,12.0,0.64,47408.0,34.47,6.0,16.0,0.38,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13738,20699,75.83,16,18,0.11,16734.0,75.84,12.0,13.0,0.14,3965.0,75.78,4.0,5.0,0.55,0.0,0.0,0.0,0.0,0.0,0,1,1,0
13739,424170,50.04,34,72,0.25,139406.0,49.93,17.0,24.0,0.2,284180.0,50.09,13.0,44.0,0.51,584.0,50.2,4.0,4.0,0.46,0,1,1,0
13741,800000,106.15,3,4,0.45,800000.0,106.15,3.0,4.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
13742,6581000,124.25,3,5,0.84,6581000.0,124.25,3.0,5.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1
13743,2812865,25.37,31,39,0.36,2706719.0,25.37,26.0,33.0,0.39,106146.0,25.34,5.0,6.0,0.34,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13744,397000,104.94,6,7,0.59,397000.0,104.94,6.0,7.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
13745,192484,21.03,12,23,0.46,12695.0,21.13,8.0,9.0,0.5,179789.0,21.03,4.0,14.0,0.52,0.0,0.0,0.0,0.0,0.0,0,1,1,0
13747,117070,211.64,4,4,0.47,117070.0,211.64,4.0,4.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13748,68661,92.0,12,15,0.35,64166.0,92.05,9.0,12.0,0.4,4495.0,91.34,3.0,3.0,0.81,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13749,27948,13.84,3,3,0.81,27948.0,13.84,3.0,3.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13750,3174657,6.53,23,60,0.3,816584.0,6.79,16.0,25.0,0.33,2358073.0,6.44,7.0,35.0,0.5,0.0,0.0,0.0,0.0,0.0,0,1,1,0
