,VOLUME,VWAP,IMS,TRADES,CONC,TAM_VOLUME,TAM_VWAP,TAM_IMS,TAM_TRADES,TAM_CONC,HFA_VOLUME,HFA_VWAP,HFA_IMS,HFA_TRADES,HFA_CONC,RTW_VOLUME,RTW_VWAP,RTW_IMS,RTW_TRADES,RTW_CONC,B,S,E,F
0,29118,34.41,7,7,0.3,29118.0,34.41,7.0,7.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
1,10770000,107.28,6,6,0.5,10770000.0,107.28,6.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1
4,280673,10.94,20,36,0.35,184977.0,10.97,13.0,20.0,0.66,95696.0,10.87,7.0,16.0,0.58,0.0,0.0,0.0,0.0,0.0,1,0,1,0
5,549700,1935.19,9,10,0.23,549700.0,1935.19,9.0,10.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
6,213233,23.33,26,39,0.32,197345.0,23.33,19.0,29.0,0.37,15888.0,23.34,7.0,10.0,0.49,0.0,0.0,0.0,0.0,0.0,1,0,1,0
7,21129,30.22,11,18,0.3,13839.0,30.17,7.0,10.0,0.45,7290.0,30.32,4.0,8.0,0.94,0.0,0.0,0.0,0.0,0.0,0,1,1,0
8,18433,7.02,3,6,0.62,0.0,0.0,0.0,0.0,0.0,18433.0,7.02,3.0,6.0,0.62,0.0,0.0,0.0,0.0,0.0,1,0,1,0
9,8700,117.22,3,3,0.54,8700.0,117.22,3.0,3.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
10,1083815,22.43,32,43,0.09,965176.0,22.45,28.0,39.0,0.11,118639.0,22.28,4.0,4.0,0.34,0.0,0.0,0.0,0.0,0.0,1,0,1,0
11,1911,9.39,3,3,0.33,1911.0,9.39,3.0,3.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
12,1313335,19.89,22,38,0.38,1147700.0,19.91,19.0,26.0,0.48,165635.0,19.75,3.0,12.0,0.75,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13,123753,76.2,18,25,0.81,123753.0,76.2,18.0,25.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
14,6589,4.07,3,3,0.61,6589.0,4.07,3.0,3.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
15,44130,24.54,4,5,0.39,44130.0,24.54,4.0,5.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
16,54941,43.07,16,25,0.29,41627.0,43.07,12.0,19.0,0.42,13314.0,43.05,4.0,6.0,0.78,0.0,0.0,0.0,0.0,0.0,0,1,1,0
17,1633174,1.7,8,11,0.21,1633174.0,1.7,8.0,11.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
18,18759,85.52,37,58,0.11,14432.0,85.15,28.0,40.0,0.17,3666.0,86.88,6.0,15.0,0.25,661.0,86.11,3.0,3.0,0.74,1,0,1,0
19,5984000,86.32,7,7,0.29,5984000.0,86.32,7.0,7.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
20,285277,192.28,8,13,0.55,285277.0,192.28,8.0,13.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
21,89260,65.31,16,17,0.24,89260.0,65.31,16.0,17.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
22,1300,2707.15,3,3,0.44,1300.0,2707.15,3.0,3.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
23,73695,13.77,3,3,0.91,73695.0,13.77,3.0,3.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
24,878000,106.18,3,3,0.93,878000.0,106.18,3.0,3.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1
26,7423,155.84,4,10,0.47,7423.0,155.84,4.0,10.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
27,32931,33.83,3,6,0.9,32931.0,33.83,3.0,6.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
28,212607,484.19,38,47,0.11,176102.0,484.13,32.0,41.0,0.13,34828.0,484.76,3.0,3.0,0.82,1677.0,479.51,3.0,3.0,0.62,0,1,1,0
30,93500,79.03,5,5,0.25,93500.0,79.03,5.0,5.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
33,29752,12.22,3,3,0.72,29752.0,12.22,3.0,3.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
34,485,40.34,4,7,0.45,485.0,40.34,4.0,7.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
35,183282,61.45,30,54,0.1,134734.0,61.47,23.0,40.0,0.15,48548.0,61.38,7.0,14.0,0.27,0.0,0.0,0.0,0.0,0.0,1,0,1,0
36,7837000,98.48,5,6,0.45,7837000.0,98.48,5.0,6.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
37,525000,117.3,3,3,0.61,525000.0,117.3,3.0,3.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1
39,1159000,99.1,4,4,0.96,1159000.0,99.1,4.0,4.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
40,446974,4.85,7,8,0.63,446974.0,4.85,7.0,8.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
41,260271,4.56,4,6,0.48,260271.0,4.56,4.0,6.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
42,6219,42.63,3,3,0.49,6219.0,42.63,3.0,3.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
43,308014000,100.27,5,12,0.55,308014000.0,100.27,5.0,12.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
44,63406,21.25,10,15,0.4,63406.0,21.25,10.0,15.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
45,86102,47.55,12,13,0.28,57519.0,47.6,9.0,10.0,0.52,28583.0,47.45,3.0,3.0,0.41,0.0,0.0,0.0,0.0,0.0,1,0,1,0
46,51204,49.13,18,23,0.23,49247.0,49.13,14.0,18.0,0.25,1957.0,49.12,4.0,5.0,0.57,0.0,0.0,0.0,0.0,0.0,0,1,1,0
47,65893,23.76,6,7,0.38,65893.0,23.76,6.0,7.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
48,52790,13.2,7,9,0.93,52790.0,13.2,7.0,9.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
49,591654,13.96,8,8,0.72,72904.0,13.96,5.0,5.0,0.44,518750.0,13.97,3.0,3.0,0.93,0.0,0.0,0.0,0.0,0.0,0,1,1,0
50,2145,574.92,4,4,0.72,2145.0,574.92,4.0,4.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
51,130330,81.67,33,127,0.39,105692.0,81.62,25.0,46.0,0.57,24638.0,81.9,8.0,81.0,0.39,0.0,0.0,0.0,0.0,0.0,1,0,1,0
52,16080000,105.49,4,4,0.87,16080000.0,105.49,4.0,4.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
53,7546000,95.97,5,5,0.31,7546000.0,95.97,5.0,5.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
54,2305700,165.89,6,6,0.32,2305700.0,165.89,6.0,6.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1
55,201533,58.17,14,19,0.29,201533.0,58.17,14.0,19.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
56,94187,12.78,4,4,0.38,94187.0,12.78,4.0,4.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
57,441270,5.71,4,9,0.92,0.0,0.0,0.0,0.0,0.0,441270.0,5.71,4.0,9.0,0.92,0.0,0.0,0.0,0.0,0.0,0,1,1,0
58,15066,49.29,3,3,0.67,15066.0,49.29,3.0,3.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
59,478000,103.84,6,6,0.35,478000.0,103.84,6.0,6.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1
60,1746000,105.96,4,5,0.76,1746000.0,105.96,4.0,5.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1
61,283433,2.02,3,4,0.96,283433.0,2.02,3.0,4.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
63,730902,9.76,14,17,0.19,730902.0,9.76,14.0,17.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
64,4557,35.55,5,5,0.65,4557.0,35.55,5.0,5.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
65,41287,17.16,3,3,0.85,41287.0,17.16,3.0,3.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
66,373889,49.47,20,52,0.24,162184.0,49.44,11.0,17.0,0.33,211705.0,49.49,9.0,35.0,0.57,0.0,0.0,0.0,0.0,0.0,1,0,1,0
67,6018,3.75,4,4,0.73,6018.0,3.75,4.0,4.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
68,194887,74.7,42,78,0.31,180841.0,74.7,34.0,58.0,0.36,14046.0,74.66,8.0,20.0,0.3,0.0,0.0,0.0,0.0,0.0,1,0,1,0
69,2118000,110.19,4,6,0.36,2118000.0,110.19,4.0,6.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
70,56010,22.26,3,4,0.86,56010.0,22.26,3.0,4.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
71,173815,19.01,27,39,0.1,173815.0,19.01,27.0,39.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
72,51100,50.5,3,3,0.51,51100.0,50.5,3.0,3.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
73,1601,23.52,4,4,0.61,1601.0,23.52,4.0,4.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
74,1660758,102.88,84,254,0.17,1292918.0,102.89,66.0,162.0,0.25,323634.0,102.83,14.0,34.0,0.43,44206.0,103.04,4.0,58.0,0.74,1,0,1,0
76,50091,4.33,3,3,0.5,50091.0,4.33,3.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
77,1277,14.21,3,4,0.5,1277.0,14.21,3.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
78,1761076,1.73,12,16,0.27,1761076.0,1.73,12.0,16.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
79,9364,26.05,7,9,0.34,1838.0,26.05,3.0,3.0,0.56,7526.0,26.05,4.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0,1,1,0
81,415960,23.13,27,52,0.4,52982.0,23.16,15.0,20.0,0.16,335530.0,23.12,8.0,26.0,0.61,27448.0,23.18,4.0,6.0,0.62,0,1,1,0
83,423634,41.4,16,18,0.14,423634.0,41.4,16.0,18.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
84,114938,85.74,11,20,0.18,114938.0,85.74,11.0,20.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
85,214746,231.81,8,8,0.45,214746.0,231.81,8.0,8.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
86,2988,13.4,5,5,0.32,2988.0,13.4,5.0,5.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
87,317687,32.97,9,11,0.25,317687.0,32.97,9.0,11.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
89,5700000,92.24,3,3,0.5,5700000.0,92.24,3.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
91,289000,2.76,3,3,0.48,289000.0,2.76,3.0,3.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
92,12731,2.23,3,5,0.67,0.0,0.0,0.0,0.0,0.0,12731.0,2.23,3.0,5.0,0.67,0.0,0.0,0.0,0.0,0.0,0,1,1,0
93,100989,8.66,4,5,0.34,100989.0,8.66,4.0,5.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
94,64500,52.78,3,4,0.52,64500.0,52.78,3.0,4.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
95,33018,22.8,12,18,0.35,19141.0,22.78,9.0,10.0,0.52,13877.0,22.82,3.0,8.0,0.96,0.0,0.0,0.0,0.0,0.0,0,1,1,0
96,56084,17.03,12,14,0.17,28873.0,16.98,7.0,7.0,0.35,27211.0,17.08,5.0,7.0,0.34,0.0,0.0,0.0,0.0,0.0,0,1,1,0
97,4613000,100.25,3,4,0.76,4613000.0,100.25,3.0,4.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
98,67313,132.52,10,22,0.25,31401.0,132.27,5.0,7.0,0.62,35912.0,132.73,5.0,15.0,0.39,0.0,0.0,0.0,0.0,0.0,0,1,1,0
99,469085,152.76,27,53,0.19,285197.0,154.14,18.0,32.0,0.41,183888.0,150.63,9.0,21.0,0.27,0.0,0.0,0.0,0.0,0.0,1,0,1,0
100,97358,44.71,21,27,0.18,52787.0,44.72,16.0,19.0,0.18,44571.0,44.7,5.0,8.0,0.62,0.0,0.0,0.0,0.0,0.0,0,1,1,0
102,520000,5.12,3,3,0.43,520000.0,5.12,3.0,3.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
103,65957,113.07,27,51,0.23,19504.0,113.04,17.0,19.0,0.16,46453.0,113.08,10.0,32.0,0.43,0.0,0.0,0.0,0.0,0.0,0,1,1,0
104,6924,35.77,8,10,0.49,5813.0,35.76,4.0,4.0,0.68,1111.0,35.85,4.0,6.0,0.37,0.0,0.0,0.0,0.0,0.0,0,1,1,0
105,30040,220.08,3,4,0.99,30040.0,220.08,3.0,4.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
106,12406,41.0,14,42,0.38,4304.0,40.95,9.0,13.0,0.65,8102.0,41.03,5.0,29.0,0.7,0.0,0.0,0.0,0.0,0.0,0,1,1,0
107,3960000,99.87,3,3,0.6,3960000.0,99.87,3.0,3.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
108,3431,39.38,9,10,0.49,207.0,39.53,5.0,5.0,0.33,3224.0,39.37,4.0,5.0,0.56,0.0,0.0,0.0,0.0,0.0,1,0,1,0
109,40331,10556.96,11,13,0.38,40331.0,10556.96,11.0,13.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
111,41100,2895.05,4,5,0.45,41100.0,2895.05,4.0,5.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
112,1033650,98.98,6,6,0.62,1033650.0,98.98,6.0,6.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1
113,1100000,99.39,3,3,0.35,1100000.0,99.39,3.0,3.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
114,22609767,6.46,16,18,0.23,22609767.0,6.46,16.0,18.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
115,151189,159.87,16,21,0.61,151189.0,159.87,16.0,21.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
116,1168717,433.22,36,39,0.59,210373.0,435.1,31.0,34.0,0.35,958344.0,432.81,5.0,5.0,0.86,0.0,0.0,0.0,0.0,0.0,0,1,1,0
117,5975000,99.9,3,3,0.58,5975000.0,99.9,3.0,3.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1
118,41904,46.07,14,15,0.29,24554.0,46.07,9.0,10.0,0.59,17350.0,46.07,5.0,5.0,0.51,0.0,0.0,0.0,0.0,0.0,0,1,1,0
119,26150,184.91,5,14,0.26,26150.0,184.91,5.0,14.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
120,27009,182.09,27,48,0.18,14677.0,181.95,19.0,30.0,0.24,12332.0,182.25,8.0,18.0,0.55,0.0,0.0,0.0,0.0,0.0,0,1,1,0
121,404074,47.54,13,27,0.53,389505.0,47.54,10.0,22.0,0.57,14569.0,47.53,3.0,5.0,0.41,0.0,0.0,0.0,0.0,0.0,0,1,1,0
122,32976800,112.22,7,9,0.66,32976800.0,112.22,7.0,9.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1
123,33000,103.55,3,4,0.4,33000.0,103.55,3.0,4.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1
124,754,45.45,9,9,0.34,754.0,45.45,9.0,9.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
125,225900,1082.16,5,8,0.6,225900.0,1082.16,5.0,8.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
126,6100000,92.61,3,3,0.85,6100000.0,92.61,3.0,3.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1
127,36175,25.38,14,22,0.26,7012.0,25.34,8.0,13.0,0.55,29163.0,25.39,6.0,9.0,0.36,0.0,0.0,0.0,0.0,0.0,1,0,1,0
128,1853,238.78,6,6,0.64,1853.0,238.78,6.0,6.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
129,122009,134.56,61,140,0.06,67449.0,134.6,48.0,83.0,0.07,53390.0,134.53,10.0,42.0,0.2,1170.0,134.02,3.0,15.0,0.88,1,0,1,0
130,54344,98.95,3,4,0.49,54344.0,98.95,3.0,4.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1
131,5666,7.69,3,6,0.39,0.0,0.0,0.0,0.0,0.0,5666.0,7.69,3.0,6.0,0.39,0.0,0.0,0.0,0.0,0.0,1,0,1,0
132,43025600,92.08,11,15,0.31,43025600.0,92.08,11.0,15.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
133,2410000,117.36,3,3,0.71,2410000.0,117.36,3.0,3.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
134,12449,8.07,4,4,0.7,12449.0,8.07,4.0,4.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
135,534912000,102.95,6,8,0.53,534912000.0,102.95,6.0,8.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
136,1932,3.67,3,3,0.64,1932.0,3.67,3.0,3.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
137,23987,171.46,15,20,0.46,22841.0,171.46,10.0,15.0,0.5,1146.0,171.42,5.0,5.0,0.55,0.0,0.0,0.0,0.0,0.0,0,1,1,0
139,7609,7.51,3,3,0.72,7609.0,7.51,3.0,3.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
140,272000,98.16,3,3,0.61,272000.0,98.16,3.0,3.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1
141,2112897,67.37,66,107,0.16,1991342.0,67.39,51.0,88.0,0.17,110633.0,67.03,12.0,16.0,0.2,10922.0,68.18,3.0,3.0,0.68,0,1,1,0
142,17500,1418.95,4,7,0.4,17500.0,1418.95,4.0,7.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
143,1243433,4.75,11,17,0.22,450537.0,4.75,7.0,8.0,0.38,792896.0,4.75,4.0,9.0,0.41,0.0,0.0,0.0,0.0,0.0,0,1,1,0
144,33637,5.56,3,8,0.46,0.0,0.0,0.0,0.0,0.0,33637.0,5.56,3.0,8.0,0.46,0.0,0.0,0.0,0.0,0.0,0,1,1,0
145,48597,8.2,4,6,0.69,48597.0,8.2,4.0,6.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
147,43605,23.7,5,9,0.33,43605.0,23.7,5.0,9.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
148,418964,50.66,6,6,0.44,418964.0,50.66,6.0,6.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
150,2065360,15.6,22,33,0.2,2065360.0,15.6,22.0,33.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
151,26556100,3506.87,4,7,0.62,26556100.0,3506.87,4.0,7.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
153,44400,19.69,4,4,0.66,44400.0,19.69,4.0,4.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
156,147779,46.71,39,68,0.07,123620.0,46.74,30.0,51.0,0.09,24159.0,46.56,9.0,17.0,0.34,0.0,0.0,0.0,0.0,0.0,1,0,1,0
157,127693,43.44,15,36,0.25,36423.0,43.41,6.0,8.0,0.86,91270.0,43.44,9.0,28.0,0.35,0.0,0.0,0.0,0.0,0.0,1,0,1,0
158,103769,3.58,5,5,0.78,103769.0,3.58,5.0,5.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
159,484287,50.97,66,149,0.11,361190.0,51.12,52.0,86.0,0.14,121823.0,50.52,10.0,55.0,0.41,1274.0,50.87,4.0,8.0,0.78,1,0,1,0
160,7752600,113.86,6,6,0.63,7752600.0,113.86,6.0,6.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
163,338832,102.23,21,77,0.21,221777.0,102.19,11.0,23.0,0.4,110628.0,102.31,6.0,35.0,0.4,6427.0,102.41,4.0,19.0,0.6,1,0,1,0
164,1828186,1.08,3,3,0.98,1828186.0,1.08,3.0,3.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
165,81018,24.7,4,4,0.63,81018.0,24.7,4.0,4.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
166,17783,149.33,8,8,0.15,12966.0,149.3,5.0,5.0,0.23,4817.0,149.4,3.0,3.0,0.38,0.0,0.0,0.0,0.0,0.0,0,1,1,0
167,172336,26.07,22,28,0.11,146564.0,26.05,18.0,21.0,0.14,25772.0,26.19,4.0,7.0,0.38,0.0,0.0,0.0,0.0,0.0,1,0,1,0
168,14789,59.26,19,27,0.14,11863.0,59.3,15.0,23.0,0.17,2926.0,59.1,4.0,4.0,0.74,0.0,0.0,0.0,0.0,0.0,1,0,1,0
169,2550000,95.36,3,3,0.69,2550000.0,95.36,3.0,3.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
170,8195000,102.52,6,6,0.3,8195000.0,102.52,6.0,6.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
171,25256,12.44,11,15,0.3,18097.0,12.44,8.0,9.0,0.48,7159.0,12.43,3.0,6.0,0.7,0.0,0.0,0.0,0.0,0.0,0,1,1,0
172,114604,44.28,10,10,0.43,114604.0,44.28,10.0,10.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
174,2120000,121.81,5,6,0.33,2120000.0,121.81,5.0,6.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
175,4974600,8378.88,8,9,0.39,4974600.0,8378.88,8.0,9.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
176,100360,6687.86,17,25,0.18,94260.0,6686.27,13.0,18.0,0.2,6100.0,6712.46,4.0,7.0,0.54,0.0,0.0,0.0,0.0,0.0,0,1,1,0
177,745602,1.32,3,3,0.96,745602.0,1.32,3.0,3.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
178,54469,189.09,9,10,0.67,5329.0,189.27,4.0,4.0,0.7,49140.0,189.07,5.0,6.0,0.82,0.0,0.0,0.0,0.0,0.0,0,1,1,0
179,25493,24.0,3,3,0.97,25493.0,24.0,3.0,3.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
180,28339,13.98,3,3,0.45,28339.0,13.98,3.0,3.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
181,2319,0.87,3,3,0.57,2319.0,0.87,3.0,3.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
182,185875,3174.73,10,12,0.66,185875.0,3174.73,10.0,12.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
